"elderly_id","city","request_date","status","needs","request_id"
1,"Cumberland",2025-03-19,"Completed","Personal care (dressing, bathing - non-medical), Respite care (for family caregivers), Gardening, Walking/exercise assistance, Companionship (social activities), Medication reminders (non-medical), Cooking meals, Educational programs","R1"
1,"Cumberland",2025-03-17,"Pending","Personal care (dressing, bathing - non-medical), Respite care (for family caregivers), Gardening, Walking/exercise assistance, Companionship (social activities), Medication reminders (non-medical), Cooking meals, Educational programs","R2"
1,"Cumberland",2025-03-15,"Completed","Personal care (dressing, bathing - non-medical), Respite care (for family caregivers), Gardening, Walking/exercise assistance, Companionship (social activities), Medication reminders (non-medical), Cooking meals, Educational programs","R3"
2,"Aurora",2025-02-17,"Completed","Companionship (social activities), Grocery shopping, Medication reminders (non-medical), Travel companionship, Housekeeping, Fall prevention assistance, Home safety assessments, Playing games (cards, board games)","R4"
2,"Aurora",2025-03-09,"Completed","Companionship (social activities), Grocery shopping, Medication reminders (non-medical), Travel companionship, Housekeeping, Fall prevention assistance, Home safety assessments, Playing games (cards, board games)","R5"
2,"Aurora",2025-02-20,"Completed","Companionship (social activities), Grocery shopping, Medication reminders (non-medical), Travel companionship, Housekeeping, Fall prevention assistance, Home safety assessments, Playing games (cards, board games)","R6"
3,"Orland",2025-03-13,"Completed","Assistive technology training, Housekeeping","R7"
3,"Orland",2025-03-01,"Completed","Assistive technology training, Housekeeping","R8"
3,"Orland",2025-03-04,"Completed","Assistive technology training, Housekeeping","R9"
4,"Pen Argyl",2025-03-03,"Completed","Home safety assessments, Educational programs, Home maintenance (minor repairs), Mental wellness support (non-clinical), Personal care (dressing, bathing - non-medical), Pet care, Arts and crafts activities","R10"
4,"Pen Argyl",2025-03-18,"Pending","Home safety assessments, Educational programs, Home maintenance (minor repairs), Mental wellness support (non-clinical), Personal care (dressing, bathing - non-medical), Pet care, Arts and crafts activities","R11"
4,"Pen Argyl",2025-02-24,"Pending","Home safety assessments, Educational programs, Home maintenance (minor repairs), Mental wellness support (non-clinical), Personal care (dressing, bathing - non-medical), Pet care, Arts and crafts activities","R12"
5,"Queens Village",2025-03-01,"Completed","Mental wellness support (non-clinical), Accessibility modifications (home), Senior center activities, Tech support (computers, phones), Reading aloud (books, newspapers), Financial management assistance (budgeting), Cooking meals, Assistive technology training, Errands (post office, dry cleaning)","R13"
5,"Queens Village",2025-03-19,"Completed","Mental wellness support (non-clinical), Accessibility modifications (home), Senior center activities, Tech support (computers, phones), Reading aloud (books, newspapers), Financial management assistance (budgeting), Cooking meals, Assistive technology training, Errands (post office, dry cleaning)","R14"
5,"Queens Village",2025-03-02,"Completed","Mental wellness support (non-clinical), Accessibility modifications (home), Senior center activities, Tech support (computers, phones), Reading aloud (books, newspapers), Financial management assistance (budgeting), Cooking meals, Assistive technology training, Errands (post office, dry cleaning)","R15"
6,"Alsea",2025-03-01,"Completed","Medication reminders (non-medical), Arts and crafts activities, Home safety assessments, Personal care (dressing, bathing - non-medical), Fall prevention assistance, Cooking meals","R16"
6,"Alsea",2025-03-13,"Completed","Medication reminders (non-medical), Arts and crafts activities, Home safety assessments, Personal care (dressing, bathing - non-medical), Fall prevention assistance, Cooking meals","R17"
6,"Alsea",2025-02-18,"Completed","Medication reminders (non-medical), Arts and crafts activities, Home safety assessments, Personal care (dressing, bathing - non-medical), Fall prevention assistance, Cooking meals","R18"
7,"Rockdale",2025-03-02,"Completed","Travel companionship, Pet care, Playing games (cards, board games), Errands (post office, dry cleaning), Reading aloud (books, newspapers), Accessibility modifications (home), Volunteer coordination","R19"
7,"Rockdale",2025-03-09,"Pending","Travel companionship, Pet care, Playing games (cards, board games), Errands (post office, dry cleaning), Reading aloud (books, newspapers), Accessibility modifications (home), Volunteer coordination","R20"
7,"Rockdale",2025-02-21,"Completed","Travel companionship, Pet care, Playing games (cards, board games), Errands (post office, dry cleaning), Reading aloud (books, newspapers), Accessibility modifications (home), Volunteer coordination","R21"
8,"Asher",2025-03-13,"Completed","Transportation to appointments, Financial management assistance (budgeting)","R22"
8,"Asher",2025-03-04,"Completed","Transportation to appointments, Financial management assistance (budgeting)","R23"
8,"Asher",2025-02-23,"Completed","Transportation to appointments, Financial management assistance (budgeting)","R24"
9,"Carthage",2025-02-18,"Completed","Accessibility modifications (home), Assistive technology training, Legal assistance referrals, Social event planning, Music and entertainment, Housekeeping, Housekeeping","R25"
9,"Carthage",2025-02-27,"Completed","Accessibility modifications (home), Assistive technology training, Legal assistance referrals, Social event planning, Music and entertainment, Housekeeping, Housekeeping","R26"
9,"Carthage",2025-03-06,"Pending","Accessibility modifications (home), Assistive technology training, Legal assistance referrals, Social event planning, Music and entertainment, Housekeeping, Housekeeping","R27"
10,"Ava",2025-03-07,"Completed","Senior center activities, Housekeeping, Mental wellness support (non-clinical), Reading aloud (books, newspapers), Music and entertainment, Educational programs, Fall prevention assistance, Accessibility modifications (home)","R28"
10,"Ava",2025-03-10,"Pending","Senior center activities, Housekeeping, Mental wellness support (non-clinical), Reading aloud (books, newspapers), Music and entertainment, Educational programs, Fall prevention assistance, Accessibility modifications (home)","R29"
10,"Ava",2025-03-15,"Pending","Senior center activities, Housekeeping, Mental wellness support (non-clinical), Reading aloud (books, newspapers), Music and entertainment, Educational programs, Fall prevention assistance, Accessibility modifications (home)","R30"
11,"Minneapolis",2025-02-24,"Completed","Volunteer coordination","R31"
11,"Minneapolis",2025-02-23,"Completed","Volunteer coordination","R32"
11,"Minneapolis",2025-03-13,"Pending","Volunteer coordination","R33"
12,"Minneapolis",2025-03-18,"Pending","Home maintenance (minor repairs), Travel companionship, Educational programs, Tech support (computers, phones), Home safety assessments","R34"
12,"Minneapolis",2025-03-05,"Pending","Home maintenance (minor repairs), Travel companionship, Educational programs, Tech support (computers, phones), Home safety assessments","R35"
