"cluster_id","cluster_type","elderly_id","volunteer_id"
1,"Rural Transportation",440,865
2,"Urban Grocery",848,14
3,"Rural Transportation",803,843
4,"Urban Grocery",779,779
5,"Urban Grocery",761,39
6,"Urban Grocery",856,32
7,"Urban Grocery",78,197
8,"Urban Grocery",740,311
9,"Rural Transportation",737,576
10,"Urban Grocery",472,249
11,"Rural Transportation",276,904
12,"Rural Transportation",10,331
13,"Urban Grocery",953,18
14,"Rural Transportation",981,835
15,"Urban Grocery",654,590
16,"Rural Transportation",563,482
17,"Rural Transportation",39,725
18,"Urban Grocery",742,703
19,"Urban Grocery",847,718
20,"Urban Grocery",806,915
21,"Urban Grocery",601,998
22,"Rural Transportation",756,307
23,"Urban Grocery",89,490
24,"Rural Transportation",531,190
25,"Rural Transportation",63,100
26,"Urban Grocery",337,181
27,"Rural Transportation",782,571
28,"Rural Transportation",710,388
29,"Rural Transportation",701,916
30,"Urban Grocery",896,224
31,"Rural Transportation",369,675
32,"Rural Transportation",42,147
33,"Urban Grocery",610,18
34,"Urban Grocery",306,76
35,"Urban Grocery",755,677
36,"Rural Transportation",221,742
37,"Urban Grocery",358,165
38,"Urban Grocery",325,562
39,"Rural Transportation",923,629
40,"Rural Transportation",143,37
41,"Urban Grocery",856,108
42,"Urban Grocery",582,9
43,"Rural Transportation",183,351
44,"Rural Transportation",85,329
45,"Rural Transportation",905,357
46,"Urban Grocery",873,107
47,"Rural Transportation",502,673
48,"Rural Transportation",727,378
49,"Rural Transportation",806,409
50,"Rural Transportation",277,363
51,"Rural Transportation",489,340
52,"Urban Grocery",551,244
53,"Urban Grocery",585,940
54,"Urban Grocery",989,903
55,"Urban Grocery",880,351
56,"Rural Transportation",856,770
57,"Urban Grocery",211,987
58,"Rural Transportation",888,479
59,"Urban Grocery",251,331
60,"Urban Grocery",780,642
61,"Rural Transportation",498,765
62,"Urban Grocery",68,537
63,"Urban Grocery",17,686
64,"Urban Grocery",221,228
65,"Urban Grocery",992,499
66,"Rural Transportation",455,89
67,"Urban Grocery",396,683
68,"Rural Transportation",255,604
69,"Rural Transportation",710,89
70,"Rural Transportation",555,886
71,"Rural Transportation",481,447
72,"Rural Transportation",549,572
73,"Rural Transportation",349,434
74,"Rural Transportation",200,664
75,"Rural Transportation",64,215
76,"Rural Transportation",500,576
77,"Rural Transportation",839,64
78,"Urban Grocery",396,521
79,"Urban Grocery",939,990
80,"Urban Grocery",168,294
81,"Rural Transportation",1,736
82,"Rural Transportation",107,525
83,"Urban Grocery",799,212
84,"Rural Transportation",31,898
85,"Urban Grocery",563,87
86,"Rural Transportation",814,645
