id,elderly_id,needs,time_prefs,urgency,created_at
CR001,E001,"Transportation, Cleaning, Driving","Weekend PM, Weekday PM",Low,2025-04-13 12:56:37
CR002,E001,"Companionship, Cleaning, Transportation","Weekend AM, Weekday PM",High,2025-04-13 12:52:04
CR003,E001,"Shopping, First Aid, Driving, Transportation","Weekday PM, Weekday AM",Low,2025-04-13 12:52:28
CR004,E002,"Companionship, Medication, First Aid","Weekend PM, Weekday PM",Low,2025-04-13 12:52:34
CR005,E002,"Shopping, Cooking","Weekend PM, Weekend AM",Low,2025-04-13 12:55:13
CR006,E002,"Medication, Companionship, Shopping","Weekend AM, Weekday PM",High,2025-04-13 12:51:36
CR007,E002,"Medication, Cleaning, First Aid, Companionship","Weekend AM, Weekday PM",Medium,2025-04-13 12:56:59
CR008,E002,"Cooking, Medication","Weekday PM, Weekend PM",Low,2025-04-13 12:54:13
CR009,E003,"Companionship, Medication","Weekend PM, Weekday PM",High,2025-04-13 12:53:25
CR010,E003,"Shopping, Driving, Cooking, Cleaning","Weekday PM, Weekend PM",Low,2025-04-13 12:54:43
CR011,E003,"Driving, Medication, Shopping","Weekday PM, Weekend PM",Low,2025-04-13 12:52:16
CR012,E004,"Shopping, Medication, Cooking, Companionship","Weekday AM, Weekend PM",High,2025-04-13 12:56:43
CR013,E004,"First Aid, Companionship, Transportation","Weekend AM, Weekday AM",Low,2025-04-13 12:53:38
CR014,E005,"Cooking, Transportation, Driving","Weekend PM, Weekday PM",Low,2025-04-13 12:55:11
CR015,E005,"Driving, Cooking, Transportation, Shopping","Weekend AM, Weekday AM",Low,2025-04-13 12:53:10
CR016,E005,"Transportation, Shopping","Weekday PM, Weekend AM",Medium,2025-04-13 12:51:29
CR017,E005,"First Aid, Cleaning, Shopping","Weekend PM, Weekday PM",High,2025-04-13 12:56:37
CR018,E006,"Cooking, Transportation, First Aid, Medication","Weekend AM, Weekend PM",Low,2025-04-13 12:54:43
CR019,E006,"Companionship, Cooking","Weekday AM, Weekend PM",Low,2025-04-13 12:56:48
CR020,E007,"First Aid, Cleaning, Driving","Weekday PM, Weekend PM",High,2025-04-13 12:57:21
CR021,E007,"First Aid, Driving, Medication","Weekday PM, Weekend PM",High,2025-04-13 12:56:22
CR022,E007,"Companionship, First Aid, Driving, Shopping","Weekday PM, Weekend AM",Low,2025-04-13 12:54:34
CR023,E007,"Cleaning, Driving, Transportation","Weekday PM, Weekend PM",High,2025-04-13 12:53:17
CR024,E007,"Shopping, Companionship, Driving, Transportation","Weekend AM, Weekend PM",Medium,2025-04-13 12:52:47
CR025,E008,"First Aid, Companionship, Driving, Shopping","Weekday AM, Weekday PM",High,2025-04-13 12:51:38
CR026,E008,"Shopping, Driving, Transportation","Weekday PM, Weekend AM",High,2025-04-13 12:51:44
CR027,E008,"Driving, Transportation, Medication, Cleaning","Weekday AM, Weekend PM",Medium,2025-04-13 12:56:06
CR028,E008,"First Aid, Cleaning, Cooking, Shopping","Weekend PM, Weekend AM",Medium,2025-04-13 12:51:57
CR029,E009,"Medication, Companionship, Cleaning","Weekend AM, Weekend PM",Low,2025-04-13 12:55:05
CR030,E009,"Medication, Companionship","Weekend PM, Weekday PM",High,2025-04-13 12:56:37
CR031,E010,"Driving, Companionship, First Aid, Cleaning","Weekend AM, Weekday PM",Low,2025-04-13 12:56:01
CR032,E010,"Driving, Medication, Shopping","Weekend PM, Weekday PM",Low,2025-04-13 12:53:31
CR033,E010,"Medication, Shopping","Weekend PM, Weekend AM",Medium,2025-04-13 12:54:40
CR034,E010,"Companionship, Cleaning","Weekday PM, Weekend PM",Medium,2025-04-13 12:53:20
CR035,E010,"First Aid, Driving, Transportation, Shopping","Weekday PM, Weekend AM",Low,2025-04-13 12:55:13
CR036,E011,"Driving, Shopping, Companionship, First Aid","Weekday PM, Weekday AM",Medium,2025-04-13 12:52:26
CR037,E011,"Cleaning, Companionship","Weekend AM, Weekend PM",High,2025-04-13 12:56:32
CR038,E011,"Transportation, First Aid, Companionship","Weekend PM, Weekday AM",Medium,2025-04-13 12:51:52
CR039,E011,"Cleaning, Companionship, Cooking, Shopping","Weekday PM, Weekday AM",Medium,2025-04-13 12:51:52
CR040,E012,"Shopping, Transportation, Driving","Weekend AM, Weekend PM",Medium,2025-04-13 12:54:07
CR041,E012,"First Aid, Transportation, Cooking, Companionship","Weekend PM, Weekday PM",Medium,2025-04-13 12:57:21
CR042,E012,"Transportation, Companionship, Cleaning, Cooking","Weekday PM, Weekend AM",Medium,2025-04-13 12:54:27
CR043,E012,"Transportation, Driving","Weekend AM, Weekend PM",Medium,2025-04-13 12:51:44
CR044,E012,"Transportation, Companionship, Medication, Cooking","Weekend PM, Weekday AM",Low,2025-04-13 12:57:23
CR045,E013,"First Aid, Driving","Weekend PM, Weekday AM",High,2025-04-13 12:54:33
CR046,E013,"Transportation, First Aid","Weekday PM, Weekday AM",Medium,2025-04-13 12:51:34
CR047,E013,"Medication, Shopping, First Aid","Weekend PM, Weekend AM",Low,2025-04-13 12:56:59
CR048,E013,"Transportation, Cleaning, Medication","Weekend PM, Weekend AM",Low,2025-04-13 12:51:53
CR049,E014,"Shopping, Cooking","Weekday AM, Weekday PM",Low,2025-04-13 12:52:32
CR050,E014,"Cooking, Companionship, First Aid, Cleaning","Weekday AM, Weekend PM",Medium,2025-04-13 12:54:20
CR051,E015,"Medication, Cleaning, Companionship","Weekday PM, Weekday AM",High,2025-04-13 12:54:16
CR052,E015,"Cleaning, Cooking, Transportation","Weekday AM, Weekend AM",Medium,2025-04-13 12:53:50
CR053,E016,"Cleaning, Cooking, Companionship","Weekend AM, Weekday PM",Medium,2025-04-13 12:53:50
CR054,E016,"Driving, Transportation, Companionship, Cleaning","Weekday PM, Weekday AM",Medium,2025-04-13 12:55:34
CR055,E016,"Shopping, Medication, Companionship","Weekend AM, Weekday PM",Medium,2025-04-13 12:53:00
CR056,E017,"First Aid, Driving, Cooking","Weekend PM, Weekend AM",Medium,2025-04-13 12:51:55
CR057,E017,"Shopping, Medication, Cleaning, Driving","Weekend PM, Weekday PM",Low,2025-04-13 12:56:50
CR058,E017,"Driving, Shopping, Medication, Companionship","Weekend AM, Weekday AM",High,2025-04-13 12:54:57
CR059,E018,"Companionship, Shopping","Weekend AM, Weekend PM",High,2025-04-13 12:51:39
CR060,E018,"Cleaning, Medication, Driving, Transportation","Weekend AM, Weekday PM",Low,2025-04-13 12:53:57
