"elderly_id","need_id"
976,3
622,8
768,8
695,8
919,3
253,9
176,1
702,7
100,1
668,7
475,8
618,3
571,6
941,6
240,9
212,10
363,4
537,2
505,4
833,1
730,9
713,10
327,10
219,2
395,7
39,8
258,10
561,5
407,1
403,2
736,1
493,7
846,8
974,8
311,4
68,10
370,1
431,7
327,8
975,1
226,4
155,7
702,8
824,9
42,3
306,10
406,2
246,10
960,10
423,4
622,9
24,7
421,6
363,2
311,2
788,4
128,3
800,1
712,1
130,7
454,4
458,6
472,10
106,5
30,8
480,10
673,5
419,2
881,4
182,2
279,2
749,7
181,3
652,8
715,9
736,6
719,6
780,10
350,4
286,3
152,4
309,7
171,7
247,6
250,9
482,4
979,3
244,6
479,8
774,5
198,5
783,4
777,2
845,6
724,8
373,10
242,5
556,4
883,1
494,9
108,10
637,10
312,1
591,6
212,7
791,4
30,5
15,5
188,7
5,10
555,7
593,10
41,9
559,9
710,3
458,10
535,2
104,5
858,3
337,4
252,8
257,5
442,3
417,2
946,3
414,5
931,9
858,3
490,10
961,3
731,8
354,6
53,7
131,8
448,10
838,6
464,3
521,9
206,8
598,1
95,6
660,6
803,7
603,3
426,9
638,4
767,5
283,2
508,5
289,7
944,9
142,3
311,5
782,8
738,8
713,3
779,2
155,3
581,5
529,7
846,2
868,2
326,2
392,3
825,7
328,3
504,6
708,6
256,1
837,5
229,3
843,10
327,6
588,2
12,1
271,10
388,7
299,10
277,10
359,8
858,10
944,10
105,5
471,5
211,6
20,5
97,2
892,4
285,9
994,6
341,2
433,10
902,7
271,7
245,9
123,7
649,10
892,8
644,2
201,4
69,8
345,8
937,5
783,2
867,9
86,5
31,8
234,10
383,10
609,3
59,1
182,5
876,7
786,1
128,6
619,4
303,5
769,8
627,9
572,5
710,1
332,9
921,9
428,4
422,1
154,8
928,5
139,7
855,9
651,8
857,8
393,7
286,8
657,5
727,4
984,8
613,9
42,5
789,5
505,6
263,4
623,6
27,6
471,7
782,9
498,9
347,6
42,8
650,6
816,7
825,6
676,1
457,7
110,7
61,9
713,7
665,2
582,9
530,5
585,4
508,4
248,4
366,8
214,5
40,2
409,8
990,9
510,8
630,4
24,7
406,5
114,2
772,3
836,3
265,2
235,4
79,2
180,10
85,6
442,8
402,7
448,8
256,7
65,1
571,9
862,3
484,3
426,4
187,5
99,2
822,2
270,3
77,7
53,8
547,1
778,4
291,5
723,1
808,9
22,2
137,4
468,6
217,6
70,3
361,7
263,5
329,3
550,9
828,5
720,3
