"match_id","volunteer_id","elderly_id","match_score","acceptance_probability"
2,941,246,0.970081833540462,0.986330376805818
7,990,630,0.921303295064718,0.999998585025089
34,899,528,0.686674429220147,0.999999914457067
60,808,739,0.733309236238711,0.960174077189363
65,185,35,0.639400539570488,0.99999789674854
72,178,217,0.868272976833396,0.999984703673767
74,224,302,0.746661363984458,0.999997880565373
75,646,580,0.931638226029463,0.998966312520293
87,934,197,0.815397700527683,0.999905058722775
103,835,710,0.518357858527452,0.999999128334991
107,780,54,0.905492249061354,0.999810230568481
108,351,426,0.512527941493317,0.999992927800222
109,854,727,0.960785161354579,0.988333009803922
132,514,932,0.882378669572063,0.833481719892391
134,484,28,0.641579239512794,0.999844658836739
146,244,451,0.716611520852894,0.999836978745391
161,774,779,0.689076255774125,0.999999998003184
165,57,624,0.752410558983684,0.710711796251396
169,125,589,0.852537873783149,0.999999999986924
170,369,61,0.636637739487924,0.99998775332496
173,553,311,0.690110793570057,0.999999929088471
179,655,698,0.561001090914942,0.999999334655694
190,32,853,0.867338344105519,0.999910424563253
214,108,883,0.559632832650095,0.884990283238745
216,184,633,0.936189580708742,0.99998682955796
221,339,386,0.591423271573149,0.964577502270442
222,643,566,0.641583925578743,0.999946352814732
240,683,933,0.620431016315706,0.995591644421482
243,144,669,0.854770993813872,0.981913822017655
247,143,342,0.547361491364427,0.999974325797816
250,508,462,0.614365626010112,0.99999999999478
268,337,921,0.675607412820682,0.999853986867463
271,975,965,0.90756973088719,0.999999999530181
280,516,913,0.60940370708704,0.999770459870575
281,985,225,0.688150139525533,0.816078714226095
295,362,562,0.656271671759896,0.989634108580598
297,594,53,0.625522039830685,0.999963641745364
299,232,548,0.571432286757044,0.999999978093463
300,181,580,0.717677247943357,0.993370096866047
301,934,908,0.519600717234425,0.864343255108462
304,909,551,0.656449165777303,0.999986501837685
309,740,855,0.627479988033883,0.995755459122276
314,919,745,0.805304068489932,0.999011319878553
329,179,716,0.89226574532222,1
331,36,780,0.819014664273709,0.993938121729653
341,193,266,0.813574318657629,0.99952237400495
345,701,162,0.57006394979544,0.969653816296932
349,745,769,0.912094671279192,0.972898393987617
355,484,492,0.730377822183073,0.909434664085346
357,661,287,0.645953370723873,0.938724749516771
361,83,552,0.948554244707339,0.999883938670277
364,234,640,0.891365140676498,0.999572004080749
368,1,328,0.79643733787816,1
375,953,776,0.742084598401561,0.999918624020315
382,767,910,0.798265151795931,1
383,481,345,0.912579729571007,0.999998477190512
384,456,756,0.524381273891777,0.999999925224397
386,654,384,0.544028274831362,0.999999999132271
396,682,449,0.578103300766088,0.99999810811801
403,182,602,0.799062582780607,0.999999947999322
