"volunteer_id","skill_id"
863,8
997,8
214,2
235,5
213,2
246,3
499,9
59,8
196,1
504,5
576,9
762,2
836,1
226,6
862,3
959,3
521,8
23,1
592,3
800,8
274,5
375,10
358,1
95,3
309,3
886,6
599,3
396,2
299,10
51,8
851,3
646,9
168,2
942,8
202,4
54,4
333,6
573,4
855,9
142,9
455,9
589,2
795,8
224,5
906,10
219,10
210,8
701,8
433,6
777,1
339,5
508,5
914,1
692,4
661,4
478,4
572,9
109,8
924,7
468,10
637,8
693,10
519,10
880,2
657,8
544,5
243,6
428,9
286,1
1,1
423,4
42,3
911,8
303,7
676,1
287,1
806,5
440,5
483,3
396,9
316,4
440,3
606,6
309,4
304,3
618,3
504,3
687,10
170,4
912,1
173,1
654,4
686,4
6,9
119,4
573,9
123,9
752,1
709,6
611,9
955,4
369,6
678,5
937,7
911,3
787,5
279,8
178,10
989,7
873,1
547,6
402,6
874,8
546,5
480,10
817,9
916,3
502,6
933,9
116,1
200,8
30,7
160,3
398,1
290,8
471,4
755,8
912,7
865,10
141,5
498,7
546,1
303,6
673,7
276,2
195,4
541,2
131,2
385,6
921,1
69,2
211,4
627,2
213,9
183,10
451,7
297,1
704,7
802,2
512,5
206,3
9,2
452,1
775,5
260,3
283,4
758,1
41,8
41,9
791,1
896,8
935,4
800,8
211,4
808,8
842,10
816,9
480,6
678,7
5,5
731,4
491,3
282,8
293,7
619,5
693,4
881,7
88,2
975,7
599,4
696,9
294,1
176,6
722,6
716,5
692,2
36,1
756,1
924,5
68,7
305,9
280,7
789,6
779,2
306,3
49,3
784,5
880,5
396,5
825,5
341,3
198,6
246,6
857,9
246,4
866,5
312,7
369,7
430,7
394,1
95,1
395,4
922,3
143,4
989,10
623,1
829,7
871,9
227,1
934,3
283,2
184,9
393,3
589,3
458,5
496,10
660,2
29,3
731,5
241,8
757,5
130,2
950,7
447,1
659,6
173,9
59,10
241,1
56,4
195,4
46,10
380,2
933,4
534,8
481,2
366,8
650,7
877,10
181,2
417,5
173,5
678,8
428,4
761,6
584,2
305,6
52,10
811,10
678,5
173,2
306,3
609,8
956,1
970,8
984,2
277,2
366,9
955,2
326,8
356,3
16,1
909,6
998,9
365,5
415,10
9,6
983,9
393,1
251,9
666,8
108,2
275,10
797,8
750,4
717,3
347,9
446,3
729,1
879,3
850,6
858,3
906,10
583,2
694,10
333,1
975,2
531,5
253,1
830,6
606,1
746,6
926,4
450,8
415,10
622,4
572,8
669,3
960,6
53,9
540,3
913,9
204,8
87,4
40,1
119,2
10,4
133,5
29,10
904,5
300,7
14,9
649,7
820,10
639,3
338,3
290,7
70,8
725,6
968,3
497,7
868,5
827,3
596,8
929,7
570,7
11,6
20,5
668,6
851,7
25,7
368,1
976,8
211,3
412,4
12,5
69,5
919,1
46,1
7,9
322,9
747,1
827,7
915,1
835,7
233,2
544,4
265,1
714,3
950,10
99,6
447,10
406,4
55,3
629,7
106,6
453,10
204,10
888,8
857,1
739,10
276,2
615,2
50,8
630,10
492,8
264,8
6,8
276,1
272,1
946,1
145,10
346,10
104,7
140,9
433,7
843,3
243,1
388,8
603,5
662,10
889,5
547,1
589,7
215,6
537,7
831,7
307,1
138,7
305,6
278,5
984,2
672,4
678,5
191,1
105,4
5,2
48,8
75,3
142,10
236,4
534,1
120,2
746,8
306,2
171,4
261,3
308,9
717,7
976,2
269,3
581,7
537,3
170,3
850,7
27,7
564,5
754,2
384,3
416,1
969,5
828,3
650,10
654,3
507,10
201,7
151,9
485,8
607,4
713,10
714,2
220,7
819,4
382,2
384,10
789,5
571,8
731,7
72,10
64,2
771,8
145,9
134,5
131,3
901,5
664,1
844,9
197,5
611,6
288,2
431,8
699,6
99,10
471,8
666,2
859,8
93,10
990,7
107,6
408,7
946,6
921,2
676,3
155,1
586,5
648,9
195,8
119,3
241,9
697,6
198,8
325,2
896,7
759,9
435,5
342,8
626,8
442,9
147,5
987,2
642,6
848,9
947,3
934,5
912,3
22,5
833,1
518,8
63,1
230,6
136,7
707,5
425,10
281,6
491,5
539,8
81,3
13,6
783,2
21,5
367,10
977,3
751,7
565,6
583,8
884,4
36,1
220,7
214,5
456,10
696,1
126,5
128,6
842,3
316,2
899,1
298,2
28,7
408,4
127,8
670,2
168,5
461,4
96,7
974,9
289,4
305,1
946,4
171,7
225,2
564,4
714,5
244,9
874,8
960,10
215,7
945,8
596,2
111,1
274,5
776,5
845,9
453,8
236,1
711,5
135,6
292,6
267,9
563,3
458,10
278,1
655,3
259,1
670,1
470,7
962,3
596,4
479,7
720,1
993,2
788,7
106,5
196,6
355,6
105,10
752,8
916,6
777,3
938,10
375,1
874,5
778,7
441,9
651,4
461,7
745,6
495,5
770,7
699,8
120,3
717,7
795,9
686,4
455,2
96,10
204,10
390,4
731,8
370,2
244,1
807,1
205,2
742,3
712,5
878,3
765,6
827,6
813,6
655,9
621,1
481,5
338,9
277,8
675,6
138,9
881,7
724,7
323,9
564,3
238,9
615,1
458,3
999,3
803,5
219,5
983,3
842,9
52,4
865,4
481,5
318,3
895,2
619,10
57,6
912,9
295,9
777,4
905,6
373,4
238,6
279,5
701,9
829,2
969,5
273,3
68,9
869,4
842,3
622,5
632,7
119,3
419,3
652,9
349,9
364,5
599,3
812,5
450,7
240,10
917,5
935,8
701,9
625,9
849,2
618,10
506,2
705,2
214,9
563,6
